Date,id_instr,value
2013-04-26,US31398A4M10,8125
2013-10-26,US31398A4M10,8125
2014-04-26,US31398A4M10,8125
2014-10-26,US31398A4M10,8125
2015-04-26,US31398A4M10,8125
2015-10-26,US31398A4M10,1008125
2009-09-13,US31398AVZ29,13750
2010-03-13,US31398AVZ29,13750
2010-09-13,US31398AVZ29,13750
2011-03-13,US31398AVZ29,13750
2011-09-13,US31398AVZ29,13750
2012-03-13,US31398AVZ29,13750
2012-09-13,US31398AVZ29,13750
2013-03-13,US31398AVZ29,13750
2013-09-13,US31398AVZ29,13750
2014-03-13,US31398AVZ29,1013750
2011-04-11,US3135G0BA00,2440.972
2011-10-11,US3135G0BA00,11875
2012-04-11,US3135G0BA00,11875
2012-10-11,US3135G0BA00,11875
2013-04-11,US3135G0BA00,11875
2013-10-11,US3135G0BA00,11875
2014-04-11,US3135G0BA00,11875
2014-10-11,US3135G0BA00,11875
2015-04-11,US3135G0BA00,11875
2015-10-11,US3135G0BA00,11875
2016-04-11,US3135G0BA00,1011875
2005-10-15,US31359MZC09,4010.417
2006-04-15,US31359MZC09,21875
2006-10-15,US31359MZC09,21875
2007-04-15,US31359MZC09,21875
2007-10-15,US31359MZC09,21875
2008-04-15,US31359MZC09,21875
2008-10-15,US31359MZC09,21875
2009-04-15,US31359MZC09,21875
2009-10-15,US31359MZC09,21875
2010-04-15,US31359MZC09,21875
2010-10-15,US31359MZC09,21875
2011-04-15,US31359MZC09,21875
2011-10-15,US31359MZC09,21875
2012-04-15,US31359MZC09,21875
2012-10-15,US31359MZC09,21875
2013-04-15,US31359MZC09,21875
2013-10-15,US31359MZC09,21875
2014-04-15,US31359MZC09,21875
2014-10-15,US31359MZC09,21875
2015-04-15,US31359MZC09,21875
2015-10-15,US31359MZC09,1021875
2004-10-15,US31359MWJ88,3597.222
2005-04-15,US31359MWJ88,23125
2005-10-15,US31359MWJ88,23125
2006-04-15,US31359MWJ88,23125
2006-10-15,US31359MWJ88,23125
2007-04-15,US31359MWJ88,23125
2007-10-15,US31359MWJ88,23125
2008-04-15,US31359MWJ88,23125
2008-10-15,US31359MWJ88,23125
2009-04-15,US31359MWJ88,23125
2009-10-15,US31359MWJ88,23125
2010-04-15,US31359MWJ88,23125
2010-10-15,US31359MWJ88,23125
2011-04-15,US31359MWJ88,23125
2011-10-15,US31359MWJ88,23125
2012-04-15,US31359MWJ88,23125
2012-10-15,US31359MWJ88,23125
2013-04-15,US31359MWJ88,23125
2013-10-15,US31359MWJ88,23125
